ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
1,죽는 날까지 하늘을 우러러,,서시,윤동주,비장함,비장함,"뿌듯함, 비장함","비장함, 뿌듯함, 감동/감탄"
2,"한 점 부끄럼이 없기를,",,서시,윤동주,"부끄러움, 비장함","부끄러움, 비장함, 기대감, 불안/걱정, 서러움, 슬픔","깨달음, 비장함, 뿌듯함","비장함, 부끄러움, 기대감"
3,잎새에 이는 바람에도,,서시,윤동주,"기대감, 신기함/관심","기대감, 불안/걱정, 비장함","슬픔, 서러움, 불안/걱정, 당황/난처","비장함, 슬픔"
4,나는 괴로워했다.,,서시,윤동주,"절망, 슬픔, 패배/자기혐오","절망, 슬픔, 패배/자기혐오, 죄책감, 힘듦/지침, 비장함","당황/난처, 서러움, 죄책감, 패배/자기혐오","비장함, 슬픔, 패배/자기혐오, 절망, 힘듦/지침"
5,별을 노래하는 마음으로,,서시,윤동주,"기쁨, 신기함/관심, 즐거움/신남, 흐뭇함(귀여움/예쁨), 뿌듯함","기쁨, 뿌듯함, 감동/감탄, 슬픔, 비장함, 아껴주는, 환영/호의, 기대감","고마움, 기대감, 기쁨, 아껴주는, 흐뭇함(귀여움/예쁨)","감동/감탄, 기대감, 기쁨, 아껴주는, 행복"
6,모든 죽어가는 것을 사랑해야지,,서시,윤동주,"비장함, 불쌍함/연민, 아껴주는, 기쁨","비장함, 불쌍함/연민, 아껴주는, 슬픔, 환영/호의, 기대감, 안심/신뢰","불쌍함/연민, 비장함, 아껴주는, 존경","비장함, 슬픔"
7,그리고 나한테 주어진 길을,,서시,윤동주,없음,없음,"부담/안_내킴, 신기함/관심, 힘듦/지침","비장함, 기쁨"
8,걸어가야겠다.,,서시,윤동주,"비장함, 깨달음","비장함, 깨달음",없음,"기대감, 비장함"
9,오늘 밤에도 별이 바람에 스치운다.,,서시,윤동주,"흐뭇함(귀여움/예쁨), 기대감, 편안/쾌적","감동/감탄, 서러움, 슬픔, 아껴주는, 흐뭇함(귀여움/예쁨)","슬픔, 서러움, 불안/걱정","감동/감탄, 기대감, 기쁨, 신기함/관심, 아껴주는"
10,산모퉁이를 돌아 논가 외딴 우물을 홀로 찾아가선 가만히 들여다봅니다.,,자화상,윤동주,"슬픔, 안타까움/실망","슬픔, 안타까움/실망, 서러움, 기대감, 불안/걱정, 비장함","패배/자기혐오, 한심함","힘듦/지침, 슬픔"
11,우물 속에는 달이 밝고 구름이 흐르고 하늘이 펼치고 파아란 바람이 불고 가을이 있습니다.,,자화상,윤동주,"흐뭇함(귀여움/예쁨), 환영/호의, 편안/쾌적, 신기함/관심","흐뭇함(귀여움/예쁨), 환영/호의, 편안/쾌적, 신기함/관심, 감동/감탄, 놀람, 서러움","감동/감탄, 신기함/관심","감동/감탄, 신기함/관심, 아껴주는, 편안/쾌적, 행복"
12,그리고 한 사나이가 있습니다.,,자화상,윤동주,"신기함/관심, 없음","신기함/관심, 기대감, 불안/걱정, 비장함","불쌍함/연민, 안타까움/실망, 한심함","비장함, 슬픔, 재미없음"
13,어쩐지 그 사나이가 미워져 돌아갑니다.,,자화상,윤동주,"안타까움/실망, 증오/혐오, 불쌍함/연민, 신기함/관심, 당황/난처, 짜증","불쌍함/연민, 패배/자기혐오, 지긋지긋, 증오/혐오, 불평/불만","부끄러움, 당황/난처, 불쌍함/연민, 안타까움/실망","슬픔, 패배/자기혐오, 힘듦/지침"
14,돌아가다 생각하니 그 사나이가 가엾어집니다.,,자화상,윤동주,"슬픔, 불쌍함/연민","슬픔, 불쌍함/연민","깨달음, 불쌍함/연민, 안타까움/실망","불쌍함/연민, 슬픔, 안타까움/실망, 힘듦/지침"
